% Lao word list with break points
% !! = armageddon (7500)
% ! = nuclear (5000)
% ~ = emergency (1000)
% ~~ = discouraged (100)
% ~~~ = neutral (0)
% ~~~~ = encouraged (-200)
% ~~~~~ = excellent (-400)
% ~~~~~~ = superb (-1000)
% ~S~ = \hspace{0.4em plus 0.2em minus 0.1em}\allowbreak

ກກ| ກກ %
ຈອນ\cs{}ໄວຄຼິບ| ຈອນ\cs{}ໄວຄຼິບ % John Wycliff
ຈອມ| ຈອມ %
ຈະ| ຈະ %
ຈະເລີນ| ຈະເລີນ %
ຈະເລີນສຸກ| ຈະເລີນ~ສຸກ %
ຈະແຈ້ງ| ຈະ~ແຈ້ງ %
ຈັກ| ຈັກ %
ຈັກ\cs{}ລັງຟັງ| ຈັກ\cs{}ລັງຟັງ % Jacques Lenfant
ຈັກກະພັດ| ຈັກ­ກະ­ພັດ % soft-hyphen
ຈັກກະວານ| ຈັກ­ກະ­ວານ % soft-hyphen
ຈັກເທື່ອ| ຈັກ~ເທື່ອ %
ຈັງຫວະ| ຈັງຫວະ %
ຈັດ| ຈັດ %
ຈັດຕຽມ| ຈັດ~ຕຽມ %
ຈັດພິມ| ຈັດ~ພິມ %
ຈັດສັນ| ຈັດ~ສັນ %
ຈັດແຈງ| ຈັດແຈງ %
ຈັນ| ຈັນ %
ຈັບ| ຈັບ %
ຈັບກຸມ| ຈັບ~~ກຸມ %
ຈັບກຸ່ມ| ຈັບ~ກຸ່ມ %
ຈັບຕາ| ຈັບ~~ຕາ %
ຈັບມື| ຈັບ~~ມື %
ຈັ່ງຊັ້ນ| ຈັ່ງ~ຊັ້ນ %
ຈັ່ງວ່າ| ຈັ່ງ~ວ່າ %
ຈັ່ງໃດ| ຈັ່ງ~ໃດ %
ຈາກ| ຈາກ %
ຈາງ| ຈາງ %
ຈາງ~~ຫາຍ| ຈາງ~ຫາຍ %
ຈາລຶກ| ຈາລຶກ %
ຈຳ| ຈຳ %
ຈຳກັດ| ຈຳກັດ %
ຈຳຄຸກ| ຈຳ~~ຄຸກ %
ຈຳຈອງ| ຈຳຈອງ %
ຈຳນວນ| ຈຳນວນ %
ຈຳນົນ| ຈຳນົນ %
ຈຳເປັນ| ຈຳເປັນ %
ຈຳເລີນ| ຈຳເລີນ %
ຈຳແນກ| ຈຳແນກ %
ຈຳແນກແຈກແຈງ| ຈຳແນກ~~ແຈກ~~ແຈງ %
ຈຳໃຈ| ຈຳ~~ໃຈ %
ຈຳໜ່າຍ| ຈຳໜ່າຍ %
ຈິງ| ຈິງ %
ຈິງຈັງ| ຈິງ~ຈັງ %
ຈິງໃຈ| ຈິງ~ໃຈ %
ຈິດ| ຈິດ %
ຈິດວິນຍານ| ຈິດ~~ວິນຍານ %
ຈິດສຳນຶກ| ຈິດ~~ສຳນຶກ %
ຈິດໃຈ| ຈິດ~~ໃຈ %
ຈິນດາ| ຈິນດາ %
ຈິນຕະນາການ| ຈິນຕະ­ນາການ %  soft-hyphen
ຈິບ| ຈິບ %
ຈິບຫາຍ| ຈິບຫາຍ %
ຈີ| ຈີ %
ຈີກ| ຈີກ %
ຈີ່| ຈີ່ %
ຈີ້| ຈີ້ %
ຈີ້ມ| ຈີ້ມ %
ຈຶ່ງ| ຈຶ່ງ %
ຈືດ| ຈືດ %
ຈືດຈາງ| ຈືດ~~ຈາງ %
ຈື່| ຈື່ %
ຈື່ຈຳ| ຈື່~ຈຳ %
ຈຸດ| ຈຸດ %
ຈຸດປະສົງ| ຈຸດ~ປະສົງ %
ຈຸດໝາຍ| ຈຸດ~ໝາຍ %
ຈູງ| ຈູງ %
ຈູງໃຈ| ຈູງ~~ໃຈ %
ຈູດ| ຈູດ %
ຈູບ| ຈູບ %
ຈູ່| ຈູ່ %
ຈູ່ໂຈມ| ຈູ່~~ໂຈມ %
ຈົກ| ຈົກ %
ຈົກສະຫຼາກ| ຈົກ~~ສະຫຼາກ %
ຈົງ| ຈົງ %
ຈົງຮັກພັກດີ| ຈົງຮັກ~ພັກ~~ດີ %
ຈົງໃຈ| ຈົງໃຈ %
ຈົດ| ຈົດ %
ຈົດຈຳ| ຈົດ~ຈຳ %
ຈົດຈໍ່| ຈົດຈໍ່ %
ຈົດໝາຍ| ຈົດໝາຍ %
ຈົນ| ຈົນ %
ຈົນເຖິງ| ຈົນ~~ເຖິງ %
ຈົບ| ຈົບ %
ຈົມ| ຈົມ %
ຈົ່ງ| ຈົ່ງ %
ຈົ່ມ| ຈົ່ມ %
ຈ່າ| ຈ່າ %
ຈ່າຍ| ຈ່າຍ %
ຈ້ອງ| ຈ້ອງ %
ຈ້ອງເບິ່ງ| ຈ້ອງ~~ເບິ່ງ %
ຈ້າ| ຈ້າ %
ຈ້າງ| ຈ້າງ %
ຈ້ຳ| ຈ້ຳ %
ຈໍແດນ| ຈໍແດນ % name
ຊວງ| ຊວງ %
ຊວງເອິກ| ຊວງ~~~ເອິກ %
ຊວນ| ຊວນ %
ຊອກ| ຊອກ %
ຊອກຫາ| ຊອກ~~ຫາ %
ຊອງ| ຊອງ %
ຊອຍ| ຊອຍ %
ຊອດ| ຊອດ %
ຊອບ| ຊອບ %
ຊອບທຳ| ຊອບທຳ %
ຊະງັກ| ຊະງັກ %
ຊະຕາ| ຊະຕາ %
ຊະຕາກຳ| ຊະຕາກຳ %
ຊະນະ| ຊະນະ %
ຊະນິດ| ຊະນິດ %
ຊະຟີຣາ| ຊະຟີຣາ % name
ຊະລາ| ຊະລາ %
ຊະລໍ| ຊະລໍ %
ຊະເຕຟາໂນ| ຊະເຕຟາໂນ % Stephen
ຊະເລີຍ| ຊະເລີຍ %
ຊະເລີຍເສິກ| ຊະເລີຍ~~ເສິກ %
ຊັກ| ຊັກ %
ຊັກຈູງ| ຊັກຈູງ %
ຊັງ| ຊັງ %
ຊັງ\cs{}ຫຼຸຍສ໌| ຊັງ\cs{}ຫຼຸຍສ໌ % name
ຊັງ\cs{}ແອນເຈໂລ| ຊັງ\cs{}ແອນ!ເຈ!ໂລ % name
ຊັດ| ຊັດ %
ຊັດເຈນ| ຊັດ~ເຈນ %
ຊັນເຮດຣິນ| ຊັນເຮດຣິນ % Sanhedrin
ຊັບ| ຊັບ %
ຊັບຊ້ອນ| ຊັບ~ຊ້ອນ %
ຊັບສິນ| ຊັບ~ສິນ %
ຊັບສົມບັດ| ຊັບ~ສົມບັດ %
ຊັອກ| ຊັອກ %
ຊັ່ງ| ຊັ່ງ %
ຊັ່ງໃຈ| ຊັ່ງໃຈ %
ຊັ້ນ| ຊັ້ນ %
ຊັ້ນຕ່ຳ| ຊັ້ນ~ຕ່ຳ %
ຊາ| ຊາ %
ຊາກ| ຊາກ %
ຊາກສົບ| ຊາກ~ສົບ %
ຊາຍ| ຊາຍ %
ຊາຍຫາດ| ຊາຍ~~ຫາດ %
ຊາດ| ຊາດ %
ຊາຕານ| ຊາຕານ %
ຊານສະຫຼາດ| ຊານ~~ສະຫຼາດ %
ຊາບ| ຊາບ %
ຊາບຊຶ້ງ| ຊາບ~ຊຶ້ງ %
ຊາມ| ຊາມ %
ຊາມາເຣຍ| ຊາມາເຣຍ % Samaria
ຊາມູເອນ| ຊາມູເອນ % name
ຊາວ| ຊາວ %
ຊາວນາ| ຊາວ~~ນາ %
ຊາວຢິວ| ຊາວ~~~ຢິວ %
ຊາວເທີກ| ຊາວ~~ເທີກ %
ຊາວເມືອງ| ຊາວ~~ເມືອງ %
ຊາວໂຣມັນ| ຊາວ~~ໂຣມັນ %
ຊາວໂລກ| ຊາວ~~~ໂລກ %
ຊາວໄຮ່| ຊາວ~~ໄຮ່ %
ຊາວໜຸ່ມ| ຊາວ~~ໜຸ່ມ %
ຊາແຕ້ງ| ຊາແຕ້ງ % satin (cloth)
ຊາໂຣນ| ຊາໂຣນ % Sharron
ຊຳນານ| ຊຳນານ %
ຊຳນິຊຳນານ| ຊຳນິ~~~ຊຳນານ %
ຊຳລະ| ຊຳ!ລະ %
ຊິງ| ຊິງ %
ຊິງດີຊິງເດັ່ນ| ຊິງ~~ດີ~~ຊິງ~~ເດັ່ນ %
ຊິດ| ຊິດ %
ຊິດໃສ່| ຊິດ~~ໃສ່ %
ຊິ້ນ| ຊິ້ນ %
ຊີດ| ຊີດ %
ຊີດຂາວ| ຊີດ~~ຂາວ %
ຊີນາຍ| ຊີນາຍ %
ຊີບ| ຊີບ %
ຊີມ| ຊີມ %
ຊີລາ| ຊີລາ %
ຊີວະປະຫວັດ| ຊີວະ­ປະຫວັດ % soft-hyphen
ຊີວິດ| ຊີວິດ %
ຊີເມໂອນ| ຊີເມໂອນ %
ຊີເຣຍ| ຊີເຣຍ %
ຊີໂມນ| ຊີໂມນ %
ຊີໂອນ| ຊີໂອນ % name
ຊີ້| ຊີ້ %
ຊີ້ນ| ຊີ້ນ %
ຊີ້ນຳ| ຊີ້~ນຳ %
ຊີ້ແຈງ| ຊີ້~~ແຈງ %
ຊຶນາມິ| ຊຶນາມິ %
ຊຶມຊັບ| ຊຶມ~ຊັບ %
ຊື່| ຊື່ %
ຊື່ນ| ຊື່ນ %
ຊື່ນຊົມ| ຊື່ນ~ຊົມ %
ຊື່ນຊົມຍິນດີ| ຊື່ນ~~ຊົມ~~ຍິນ~~ດີ %
ຊື່ນບານ| ຊື່ນ~ບານ %
ຊື່ນໃຈ| ຊື່ນ~~ໃຈ %
ຊື່ສັດ| ຊື່~ສັດ %
ຊື່ສຽງ| ຊື່~ສຽງ %
ຊື້| ຊື້ %
ຊຸກ| ຊຸກ %
ຊຸກຍູ້| ຊຸກ~ຍູ້ %
ຊຸດ| ຊຸດ %
ຊຸມຊົນ| ຊຸມຊົນ %
ຊຸມນຸມ| ຊຸມນຸມ %
ຊຸ່ມ| ຊຸ່ມ %
ຊຸ່ມຊື່ນ| ຊຸ່ມ~~ຊື່ນ %
ຊູ| ຊູ %
ຊູ່| ຊູ່ %
ຊູ້| ຊູ້ %
ຊົງ| ຊົງ %
ຊົດເຊີຍ| ຊົດ~ເຊີຍ %
ຊົດໃຊ້| ຊົດ!ໃຊ້ %
ຊົນ| ຊົນ %
ຊົນຊັ້ນ| ຊົນ~ຊັ້ນ %
ຊົນຊາດ| ຊົນ~ຊາດ %
ຊົນນະບົດ| ຊົນນະບົດ %
ຊົມ| ຊົມ %
ຊົມຊອບ| ຊົມ~ຊອບ %
ຊົມຊື່ນ| ຊົມຊື່ນ %
ຊົມຊື່ນຍິນດີ| ຊົມ~~ຊື່ນ~~ຍິນ~~ດີ %
ຊົມເຊີຍ| ຊົມ~ເຊີຍ %
ຊົມເບິ່ງ| ຊົມ~~ເບິ່ງ %
ຊົ່ວ| ຊົ່ວ %
ຊົ່ວຊ້າ| ຊົ່ວ~ຊ້າ %
ຊົ່ວຮ້າຍ| ຊົ່ວ~~ຮ້າຍ %
ຊົ່ວໂມງ| ຊົ່ວ~~ໂມງ %
ຊ່ວງ| ຊ່ວງ %
ຊ່ວງຊິງ| ຊ່ວງ~~ຊິງ %
ຊ່ວຍ| ຊ່ວຍ %
ຊ່ວຍກູ້| ຊ່ວຍ~~ກູ້ %
ຊ່ວຍເຫຼືອ| ຊ່ວຍ~~ເຫຼືອ %
ຊ່ອງ| ຊ່ອງ %
ຊ່ອງແຄບ| ຊ່ອງ~~ແຄບ %
ຊ່ອນ| ຊ່ອນ %
ຊ່າງ| ຊ່າງ %
ຊ່ຽວຊານ| ຊ່ຽວ~ຊານ %
ຊ້ອງ| ຊ້ອງ %
ຊ້ອງໜ້າ| ຊ້ອງ~ໜ້າ %
ຊ້ອນ| ຊ້ອນ %
ຊ້າ| ຊ້າ %
ຊ້າງ| ຊ້າງ %
ຊ້າຍ| ຊ້າຍ %
ຊ້ຳ| ຊ້ຳ %
ຊ້ຳຊາກ| ຊ້ຳ~ຊາກ %
ຊ້ຳບໍ່ໜຳ| ຊ້ຳ!ບໍ່!ໜຳ %
ຊ້ຳພັດ| ຊ້ຳ!ພັດ %
ຍອດ| ຍອດ %
ຍອດຍ້ຽມ| ຍອດ~~ຍ້ຽມ %
ຍອດຜາ| ຍອດ~~ຜາ %
ຍອດເພງ| ຍອດ~ເພງ %
ຍອມ| ຍອມ %
ຍອມຈຳນົນ| ຍອມ~~ຈຳນົນ %
ຍອມຮັບ| ຍອມ~ຮັບ %
ຍອມແພ້| ຍອມ~ແພ້ %
ຍັກ| ຍັກ %
ຍັງ| ຍັງ %
ຍັງຄົງ| ຍັງ~ຄົງ %
ຍັດຕິ| ຍັດຕິ %
ຍັບ| ຍັບ %
ຍັບເຍີນ| ຍັບ~~ເຍີນ %
ຍາກ| ຍາກ %
ຍາກຈົນ| ຍາກ~ຈົນ %
ຍາກລຳບາກ| ຍາກ~ລຳ!ບາກ %
ຍາກແຄ້ນ| ຍາກ~ແຄ້ນ %
ຍາດ| ຍາດ %
ຍາດຕິພີ່ນ້ອງ| ຍາດຕິ~~ພີ່~~ນ້ອງ % soft-hyphen
ຍາດແຍ່ງ| ຍາດ~ແຍ່ງ %
ຍາມ| ຍາມ %
ຍາວ| ຍາວ %
ຍາວນານ| ຍາວ~~ນານ %
ຍິງ| ຍິງ %
ຍິນ| ຍິນ %
ຍິນຍອມ| ຍິນ~ຍອມ %
ຍິນດີ| ຍິນດີ %
ຍິບຍັບ| ຍິບ~ຍັບ %
ຍິ່ງ| ຍິ່ງ %
ຍິ່ງໃຫຍ່| ຍິ່ງ~ໃຫຍ່ %
ຍິ້ມ| ຍິ້ມ %
ຍືດ| ຍືດ %
ຍືນຍາວ| ຍືນ~~ຍາວ %
ຍືນຍົງ| ຍືນ~ຍົງ %
ຍື່ນ| ຍື່ນ %
ຍຸກ| ຍຸກ %
ຍຸກມືດ| ຍຸກ~ມືດ %
ຍຸກສະໄໝ| ຍຸກ~ສະໄໝ %
ຍຸກສຸດທ້າຍ| ຍຸກ~ສຸດ~~ທ້າຍ %
ຍຸຍົງ| ຍຸຍົງ %
ຍຸດທະພັນ| ຍຸດທະພັນ %
ຍຸດທະສາດ| ຍຸດທະສາດ %
ຍຸດໂທປະກອນ| ຍຸດໂທ­ປະກອນ %  soft-hyphen
ຍຸຕິ| ຍຸຕິ %
ຍຸຕິທຳ| ຍຸຕິທຳ %
ຍຸບ| ຍຸບ %
ຍຸແຍ່| ຍຸ~ແຍ່ %
ຍູ້| ຍູ້ %
ຍົກ| ຍົກ %
ຍົກຊູ| ຍົກ!ຊູ %
ຍົກຍ້ອງ| ຍົກ~ຍ້ອງ %
ຍົກຍໍປໍປັ້ນ| ຍົກ~~ຍໍ~~ປໍ~~ປັ້ນ %
ຍົກເລີກ| ຍົກ~ເລີກ %
ຍົກເວັ້ນ| ຍົກ~ເວັ້ນ %
ຍົດ| ຍົດ %
ຍົດຖາບັນດາສັກ| ຍົດຖາ­ບັນດາ­ສັກ %  soft-hyphen
ຍົວະ| ຍົວະ %
ຍ່ອຍຍັບ| ຍ່ອຍ~~ຍັບ %
ຍ່ອມ| ຍ່ອມ %
ຍ່າ| ຍ່າ %
ຍ່າງ| ຍ່າງ %
ຍ້ອງຍໍ| ຍ້ອງ~ຍໍ %
ຍ້ອນ| ຍ້ອນ %
ຍ້າຍ| ຍ້າຍ %
ຍໍ| ຍໍ %
ດຣ| ດຣ %
ດວງ| ດວງ %
ດວງຈັນ| ດວງ~~~ຈັນ %
ດວງດາວ| ດວງ~~~ດາວ %
ດອກ| ດອກ %
ດອກໄມ້| ດອກ~~ໄມ້ %
ດອງ| ດອງ %
ດອນ| ດອນ %
ດັກ| ດັກ %
ດັກຊຸ້ມ| ດັກ~~ຊຸ້ມ %
ດັງ| ດັງ %
ດັງສະໜັ່ນ| ດັງ~~ສະໜັ່ນ %
ດັດ| ດັດ %
ດັດຊະນີ| ດັດຊະນີ %
ດັດຊ໌| ດັດຊ໌ % name
ດັດແປງ| ດັດ~ແປງ %
ດັນ| ດັນ %
ດັນທຸລັງ| ດັນທຸລັງ %
ດັບ| ດັບ %
ດັບມອດ| ດັບ~~ມອດ %
ດັບສູນ| ດັບ~ສູນ %
ດັ່ງ| ດັ່ງ %
ດັ່ງກ່າວ| ດັ່ງ~ກ່າວ %
ດັ່ງນັ້ນ| ດັ່ງ~ນັ້ນ %
ດັ້ງ| ດັ້ງ %
ດັ້ງເດີມ| ດັ້ງ~ເດີມ %
ດານີເອນ| ດານີເອນ % name
ດາບ| ດາບ %
ດາວ| ດາວ %
ດາວິດ| ດາວິດ % name
ດຳ| ດຳ %
ດຳລັດ| ດຳລັດ %
ດຳລົງ| ດຳລົງ %
ດຳເນີນ| ດຳເນີນ %
ດິນ| ດິນ %
ດິນຈີ່| ດິນຈີ່ %
ດິນດອນ| ດິນ~ດອນ %
ດິນແດນ| ດິນ~ແດນ %
ດິບ| ດິບ %
ດິ້ນ| ດິ້ນ %
ດິ້ນສູ້| ດິ້ນ~ສູ້ %
ດິ້ນຫຼຸດ| ດິ້ນ~~ຫຼຸດ %
ດິ້ນຮົນ| ດິ້ນຮົນ %
ດີ| ດີ %
ດີງາມ| ດີ~~ງາມ %
ດີດ| ດີດ %
ດີອົກດີໃຈ| ດີ~~ອົກ~~~ດີ~~ໃຈ %
ດຶກ| ດຶກ %
ດຶກດຳບັນ| ດຶກ~ດຳບັນ %
ດຶງ| ດຶງ %
ດື່ມ| ດື່ມ %
ດື້| ດື້ %
ດື້ດຶງ| ດື້~ດຶງ %
ດື້ດ້ານ| ດື້~ດ້ານ %
ດຸ| ດຸ %
ດຸດດັ່ງ| ດຸດດັ່ງ %
ດຸນອຳນາດ| ດຸນ~ອຳນາດ %
ດຸຮ້າຍ| ດຸ~ຮ້າຍ %
ດຸເດືອດ| ດຸ~ເດືອດ %
ດູດ| ດູດ %
ດູຖູກ| ດູ~ຖູກ %
ດູແລ| ດູ~ແລ %
ດູໝິ່ນ| ດູ~ໝິ່ນ %
ດົກ| ດົກ %
ດົນ| ດົນ %
ດົນຈິດດົນໃຈ| ດົນ~~ຈິດ~~~ດົນ~~ໃຈ %
ດົນນານ| ດົນ~~ນານ %
ດົມ| ດົມ %
ດົ້ນຟືນ| ດົ້ນ~~ຟືນ %
ດຽວ| ດຽວ %
ດຽວກັນ| ດຽວ~ກັນ %
ດຽວດາຍ| ດຽວ~ດາຍ %
ດ່ວນ| ດ່ວນ %
ດ່າ| ດ່າ %
ດ່າງພອຍ| ດ່າງພອຍ %
ດ່ານ| ດ່ານ %
ດ່າວ່າ| ດ່າ~ວ່າ %
ດ່ຽວ| ດ່ຽວ %
ດ້ວຍ| ດ້ວຍ %
ດ້ວຍວ່າ| ດ້ວຍ~ວ່າ %
ດ້ວຍເຫດນີ້| ດ້ວຍ~ເຫດ~~ນີ້ %
ດ້ອຍ| ດ້ອຍ %
ດ້ານ| ດ້ານ %
ຕວງ| ຕວງ %
ຕອກ| ຕອກ %
ຕອກຢ້ຳ| ຕອກ~ຢ້ຳ %
ຕອນ| ຕອນ %
ຕອບ| ຕອບ %
ຕອບສະໜອງ| ຕອບ~~ສະໜອງ %
ຕອບຮັບ| ຕອບ~ຮັບ %
ຕອບແທນ| ຕອບ~ແທນ %
ຕອບໂຕ້| ຕອບ~ໂຕ້ %
ຕະກອນ| ຕະກອນ %
ຕະການຕາ| ຕະການຕາ %
ຕະກູນ| ຕະກູນ %
ຕະກຽງ| ຕະກຽງ %
ຕະປູ| ຕະປູ %
ຕະລຶງ| ຕະລຶງ %
ຕະຫຼອດ| ຕະຫຼອດ %
ຕະຫຼາດ| ຕະຫຼາດ %
ຕະຫຼົກ| ຕະຫຼົກ %
ຕະແລງແກງ| ຕະແລງແກງ %
ຕະໂກນ| ຕະໂກນ %
ຕະໜົກຕົກໃຈ| ຕະໜົກ~~ຕົກ~~ໃຈ %
ຕັກ| ຕັກ %
ຕັກກະແຕນ| ຕັກກະແຕນ %
ຕັກເຕືອນ| ຕັກ~ເຕືອນ %
ຕັດ| ຕັດ %
ຕັດສິນ| ຕັດສິນ %
ຕັດສິນໃຈ| ຕັດສິນ~ໃຈ %
ຕັນ| ຕັນ %
ຕັນຫາ| ຕັນຫາ %
ຕັ່ງ| ຕັ່ງ %
ຕັ້ງ| ຕັ້ງ %
ຕັ້ງຕົວ| ຕັ້ງ~~ຕົວ %
ຕັ້ງຢູ່| ຕັ້ງ~~ຢູ່ %
ຕັ້ງແຕ່| ຕັ້ງ~ແຕ່ %
ຕັ້ງໃຈ| ຕັ້ງ~~ໃຈ %
ຕັ້ງໝັ້ນ| ຕັ້ງ~ໝັ້ນ %
ຕາ| ຕາ %
ຕາງໜ້າ| ຕາງໜ້າ %
ຕາຍ| ຕາຍ %
ຕາຍາຍ| ຕາ~ຍາຍ %
ຕາດ| ຕາດ %
ຕານ| ຕານ %
ຕາບ| ຕາບ %
ຕາບອດ| ຕາ~~ບອດ %
ຕາຟາງ| ຕາ~~ຟາງ %
ຕາມ| ຕາມ %
ຕາມລ່າ| ຕາມ~~ລ່າ %
ຕາມົວ| ຕາ~~ມົວ %
ຕາມໂຮງ| ຕາມ~~ໂຮງ %
ຕາເວັນ| ຕາເວັນ %
ຕາເວັນຕົກ| ຕາເວັນ~ຕົກ %
ຕາເວັນອອກ| ຕາເວັນ~ອອກ %
ຕາໜ່າງ| ຕາໜ່າງ %
ຕຳ| ຕຳ %
ຕຳນັກ| ຕຳນັກ %
ຕຳນານ| ຕຳນານ %
ຕຳລາ| ຕຳລາ %
ຕຳແໜ່ງ| ຕຳແໜ່ງ %
ຕຳໜັກ| ຕຳໜັກ %
ຕຳໜິ| ຕຳໜິ %
ຕິ| ຕິ %
ຕິດ| ຕິດ %
ຕິດຕາມ| ຕິດ~ຕາມ %
ຕິດຕໍ່| ຕິດ~ຕໍ່ %
ຕິດແທດ| ຕິດ~ແທດ %
ຕິຕຽນ| ຕິຕຽນ %
ຕີ| ຕີ %
ຕີງ| ຕີງ %
ຕີນ| ຕີນ %
ຕີພິມ| ຕີ~ພິມ %
ຕີໂຕ| ຕີໂຕ % name
ຕີໂມທຽວ| ຕີໂມທຽວ % name
ຕຶກ| ຕຶກ %
ຕຶກຕອງ| ຕຶກ~ຕອງ %
ຕຶກອາຄານ| ຕຶກ~~ອາຄານ %
ຕຶງຄຽດ| ຕຶງ~ຄຽດ %
ຕຶງໃຈ| ຕຶງ~~ໃຈ %
ຕື່ນ| ຕື່ນ %
ຕື່ນຕະໜົກ| ຕື່ນ~~ຕະໜົກ %
ຕື່ນຕົວ| ຕື່ນ~ຕົວ %
ຕື່ມ| ຕື່ມ %
ຕຸຣະກີ| ຕຸຣະກີ % Turkey
ຕຸລາ| ຕຸລາ %
ຕູບ| ຕູບ %
ຕູມ| ຕູມ %
ຕູ່| ຕູ່ %
ຕູ້| ຕູ້ %
ຕົກ| ຕົກ %
ຕົກຕະລຶງ| ຕົກ!ຕະລຶງ %
ຕົກຕ່ຳ| ຕົກ~ຕ່ຳ %
ຕົກລົງ| ຕົກ~ລົງ %
ຕົກໃຈ| ຕົກ~ໃຈ %
ຕົງຕົວ| ຕົງຕົວ %
ຕົນ| ຕົນ %
ຕົນເອງ| ຕົນ~~ເອງ %
ຕົບ| ຕົບ %
ຕົບຕາ| ຕົບ~ຕາ %
ຕົບແຕ່ງ| ຕົບ~ແຕ່ງ %
ຕົວ| ຕົວ %
ຕົວຢ່າງ| ຕົວ~ຢ່າງ %
ຕົວະ| ຕົວະ %
ຕົວເອງ| ຕົວ~ເອງ %
ຕົວແທນ| ຕົວ~ແທນ %
ຕົ້ນ| ຕົ້ນ %
ຕົ້ນຕໍ| ຕົ້ນຕໍ %
ຕົ້ນເຫດ| ຕົ້ນ~ເຫດ %
ຕົ້ນໄມ້| ຕົ້ນ~~ໄມ້ %
ຕົ້ມ| ຕົ້ມ %
ຕຽງ| ຕຽງ %
ຕຽງນອນ| ຕຽງ~~ນອນ %
ຕ່ອງໂສ້| ຕ່ອງ~~ໂສ້ %
ຕ່າງ| ຕ່າງ %
ຕ່າງຊາດ| ຕ່າງ~~ຊາດ %
ຕ່າງດ້າວ| ຕ່າງດ້າວ %
ຕ່າງແດນ| ຕ່າງ~~ແດນ %
ຕ່ຳ| ຕ່ຳ %
ຕ່ຳຊ້າ| ຕ່ຳ~ຊ້າ %
ຕ່ຳຕ້ອຍ| ຕ່ຳ~ຕ້ອຍ %
ຕ້ອງ| ຕ້ອງ %
ຕ້ອງການ| ຕ້ອງ~ການ %
ຕ້ອນ| ຕ້ອນ %
ຕ້ອນຮັບ| ຕ້ອນ~~ຮັບ %
ຕ້ານ| ຕ້ານ %
ຕ້ານທານ| ຕ້ານ~ທານ %
ຕໍ່| ຕໍ່ %
ຕໍ່ກອນ| ຕໍ່~~ກອນ %
ຕໍ່ຕ້ານ| ຕໍ່~ຕ້ານ %
ຕໍ່ວ່າ| ຕໍ່~ວ່າ %
ຕໍ່ສູ້| ຕໍ່~ສູ້ %
ຕໍ່ເຕີມ| ຕໍ່~ເຕີມ %
ຕໍ່ເນື່ອງ| ຕໍ່~ເນື່ອງ %
ຖວາຍ| ຖວາຍ %
ຖອກ| ຖອກ %
ຖອກເທ| ຖອກ~ເທ %
ຖອຍ| ຖອຍ %
ຖອດ| ຖອດ %
ຖອນ| ຖອນ %
ຖະຫຼຸງ| ຖະຫຼຸງ %
ຖະຫຼົ່ມ| ຖະຫຼົ່ມ %
ຖະແຫຼງ| ຖະແຫຼງ %
ຖະໜອມ| ຖະໜອມ %
ຖະໜັດ| ຖະໜັດ %
ຖະໜົນ| ຖະໜົນ %
ຖັກ| ຖັກ %
ຖັກແຫ| ຖັກ~~~ແຫ %
ຖັດ| ຖັດ %
ຖາກຖາງ| ຖາກ!ຖາງ %
ຖານ| ຖານ %
ຖານະ| ຖານະ %
ຖາມ| ຖາມ %
ຖາວອນ| ຖາວອນ %
ຖາໂຖມ| ຖາໂຖມ %
ຖິ່ນ| ຖິ່ນ %
ຖິ່ນຖານ| ຖິ່ນ~~ຖານ %
ຖິ່ນແຫ້ງແລ້ງ| ຖິ່ນ~~~ແຫ້ງ~~ແລ້ງ %
ຖິ້ມ| ຖິ້ມ %
ຖິ້ມໃຈເກົ່າ| ຖິ້ມ~ໃຈ~ເກົ່າ %
ຖີບ| ຖີບ %
ຖີ່| ຖີ່ %
ຖີ່ຖ້ວນ| ຖີ່!!ຖ້ວນ %
ຖື| ຖື %
ຖືກ| ຖືກ %
ຖືກຕ້ອງ| ຖືກ~~ຕ້ອງ %
ຖືວ່າ| ຖື~ວ່າ %
ຖົກ| ຖົກ %
ຖົກຖຽງ| ຖົກ~~ຖຽງ %
ຖົງ| ຖົງ %
ຖົດ| ຖົດ %
ຖົດຖອຍ| ຖົດ~~ຖອຍ %
ຖົມ| ຖົມ %
ຖົ່ມ| ຖົ່ມ %
ຖຽງ| ຖຽງ %
ຖ່ວງ| ຖ່ວງ %
ຖ່ວງເວລາ| ຖ່ວງ~~ເວລາ %
ຖ່ອງແທ້| ຖ່ອງ~ແທ້ %
ຖ່ອມ| ຖ່ອມ %
ຖ່ອມໂຕ| ຖ່ອມ~~ໂຕ %
ຖ່າຍ| ຖ່າຍ %
ຖ່າຍເທ| ຖ່າຍ~~ເທ %
ຖ່ານ| ຖ່ານ %
ຖ້ວນ| ຖ້ວນ %
ຖ້ວນຖີ່| ຖ້ວນ!!ຖີ່ %
ຖ້ວມ| ຖ້ວມ %
ຖ້ວມທົ້ນ| ຖ້ວມ~ທົ້ນ %
ຖ້ອຍ| ຖ້ອຍ %
ຖ້ອຍຄຳ| ຖ້ອຍ~~ຄຳ %
ຖ້າ| ຖ້າ %
ຖ້າຫາກ| ຖ້າ~~ຫາກ %
ຖ້ຳ| ຖ້ຳ %
ທວງ| ທວງ %
ທວນ| ທວນ %
ທວນໄຟ| ທວນໄຟ % torch
ທອງ| ທອງ %
